name,code,industry,intro,logo,source
永擎电子,7711,服务器/硬体,服务器与云端应用硬体解决方案供应商。,logo-075.png,图中公司
国泰建设,2501,营建,住宅、商业不动产与开发建设公司。,logo-069.png,图中公司
福懋兴业,1434,纺织,纺织、染整与布料制造企业。,logo-073.png,图中公司
美利达,9914,自行车,自行车品牌与制造商。,logo-077.png,图中公司
OBOOK 控股,6906,控股/数位服务,控股型企业，聚焦数位服务与相关投资。,,图中公司
智冠科技,5478,游戏通路/数位娱乐,游戏通路、点数与数位娱乐服务公司。,logo-074.png,图中公司
八方云集,2753,餐饮,连锁餐饮品牌，主营锅贴、水饺等餐饮服务。,logo-083.png,图中公司
Gorilla Technology,GRRR,AI/资安/影像分析,AI影像分析、资安与智慧城市技术公司。,logo-092.png,图中公司
华义国际,3086,游戏软件,线上游戏与数位娱乐公司。,logo-078.png,图中公司
亚洲航空,2630,航空维修/服务,航空维修与相关服务公司。,logo-082.png,图中公司
游戏橘子,6180,游戏营运,线上游戏与数位娱乐服务公司。,logo-072.png,图中公司
传奇网络,4994,游戏研发,线上游戏研发公司。,logo-076.png,图中公司
玩美移动,PERF,美妆科技/AI影像,提供AI美妆、影像与AR虚拟试用技术。,logo-070.png,图中公司
宇峻奥汀,3546,游戏研发,电脑与手机游戏研发公司。,logo-080.png,图中公司
大宇资讯,6111,游戏研发,游戏开发与发行公司。,logo-079.png,图中公司
康师傅,0322.HK,食品饮料,食品饮料集团，产品涵盖方便面、饮料与糕饼。,logo-097.png,图中公司
旺旺,0151.HK,食品饮料,食品饮料集团，产品涵盖米果、乳饮与休闲食品。,logo-096.png,图中公司
徐福记,未上市,食品,糖果、糕点与休闲食品品牌。,logo-095.png,图中公司
友达光电,2409,面板,显示面板与相关显示技术企业。,,新增台湾企业
仁宝电脑,2324,电子代工,笔电、智慧装置与电子产品代工制造商。,,新增台湾企业
英业达,2356,电子代工/服务器,笔电、服务器与云端设备制造商。,,新增台湾企业
佳世达,2352,电子/医疗科技,显示器、投影、医疗与智能解决方案企业。,,新增台湾企业
技嘉科技,2376,电脑硬体,主机板、显卡、服务器与电竞产品品牌。,,新增台湾企业
华擎科技,3515,电脑硬体,主机板、迷你电脑与服务器产品公司。,,新增台湾企业
蓝天电脑,2362,电脑/通路,电脑产品制造与通路相关企业。,,新增台湾企业
神达投资控股,3706,电脑/车用电子,车用电子、工业电脑与投资控股集团。,,新增台湾企业
神基控股,3005,强固型电脑,强固型电脑、车用电子与通讯设备制造商。,,新增台湾企业
精英电脑,2331,电脑硬体,主机板、电脑与电子产品制造商。,,新增台湾企业
浩鑫,2405,迷你电脑,迷你电脑、主机板与系统产品制造商。,,新增台湾企业
建碁,3046,电脑系统,电脑系统、显示与相关电子产品公司。,,新增台湾企业
威强电,3022,工业电脑,工业电脑、嵌入式系统与网络通讯设备供应商。,,新增台湾企业
研扬科技,6579,工业电脑,工业电脑与嵌入式平台供应商。,,新增台湾企业
研勤科技,3632,导航/车载系统,车载导航与智能交通相关设备企业。,,新增台湾企业
友通资讯,2397,工业电脑,嵌入式电脑与工业自动化平台供应商。,,新增台湾企业
立端科技,6245,工业电脑,工业电脑与嵌入式系统供应商。,,新增台湾企业
振桦电,8114,POS系统,POS终端、工业电脑与零售解决方案供应商。,,新增台湾企业
飞捷科技,6206,POS系统,POS终端、工业电脑与零售设备制造商。,,新增台湾企业
新唐科技,4919,半导体,微控制器、语音IC与半导体解决方案供应商。,,新增台湾企业
旺宏电子,2337,记忆体,非挥发性记忆体与NOR Flash制造商。,,新增台湾企业
华邦电子,2344,记忆体,DRAM与Flash记忆体设计制造公司。,,新增台湾企业
力成科技,6239,半导体封测,记忆体与逻辑IC封装测试服务供应商。,,新增台湾企业
京元电子,2449,半导体测试,IC测试与半导体后段服务企业。,,新增台湾企业
矽格,6257,半导体封测,IC测试与封装服务公司。,,新增台湾企业
颀邦,6147,半导体封测,显示驱动IC封装测试与金凸块服务公司。,,新增台湾企业
欣铨,3264,半导体测试,晶圆测试与IC测试服务公司。,,新增台湾企业
精材,3374,晶圆级封装,晶圆级封装与影像感测相关服务公司。,,新增台湾企业
硅创电子,8016,IC设计,显示驱动IC与混合信号IC设计公司。,,新增台湾企业
敦泰电子,3545,IC设计,触控与显示驱动整合芯片设计公司。,,新增台湾企业
群联电子,8299,储存控制IC,NAND Flash控制芯片与储存解决方案供应商。,,新增台湾企业
威刚科技,3260,记忆体模组,DRAM、SSD与储存产品品牌。,,新增台湾企业
创见资讯,2451,记忆体模组,记忆体模组、SSD与储存产品品牌。,,新增台湾企业
宜鼎国际,5289,工业储存,工业级记忆体与嵌入式储存解决方案供应商。,,新增台湾企业
广明光电,6188,光储存/电子制造,光电与电子制造相关企业。,,新增台湾企业
金像电,2368,PCB,印刷电路板制造商。,,新增台湾企业
耀华电子,2367,PCB,印刷电路板制造商。,,新增台湾企业
嘉联益,6153,软板PCB,软性印刷电路板制造商。,,新增台湾企业
臻鼎-KY,4958,PCB,全球大型PCB制造集团。,,新增台湾企业
华通电脑,2313,PCB,印刷电路板与HDI板制造商。,,新增台湾企业
健鼎科技,3044,PCB,印刷电路板制造商。,,新增台湾企业
竞国实业,6108,PCB,印刷电路板制造企业。,,新增台湾企业
志超科技,8213,PCB,印刷电路板制造商。,,新增台湾企业
台郡科技,6269,软板PCB,软性印刷电路板制造商。,,新增台湾企业
景硕科技,3189,IC载板,IC载板与印刷电路板制造商。,,新增台湾企业
友劲科技,6142,网络通信,网络通讯设备与电子产品制造公司。,,新增台湾企业
大同,2371,电机/家电,电机、能源、家电与系统工程企业。,,新增台湾企业
东元电机,1504,电机,马达、机电系统与能源解决方案供应商。,,新增台湾企业
华城电机,1519,重电设备,变压器、重电设备与电力工程企业。,,新增台湾企业
亚力电机,1514,电机设备,电力设备、自动化与工程服务公司。,,新增台湾企业
士林电机,1503,电机设备,电机、重电与车用电装品制造商。,,新增台湾企业
中兴电工,1513,电机工程,电力设备、工程服务与能源相关企业。,,新增台湾企业
和大工业,1536,汽车零组件,汽车传动系统与精密零组件制造商。,,新增台湾企业
东阳实业,1319,汽车零组件,汽车塑胶件、钣金件与售后维修件供应商。,,新增台湾企业
堤维西,1522,汽车零组件,车灯与汽车零组件制造商。,,新增台湾企业
胡连精密,6279,汽车连接器,车用端子与连接器制造商。,,新增台湾企业
江申工业,1525,汽车零组件,汽车零组件与车体结构件制造商。,,新增台湾企业
丽清科技,3346,车用照明,LED车灯模组与车用照明产品制造商。,,新增台湾企业
台湾玻璃,1802,玻璃,玻璃与建材产品制造商。,,新增台湾企业
正新橡胶,2105,轮胎,轮胎品牌与制造商。,,新增台湾企业
建大工业,2106,轮胎,轮胎与橡胶产品制造商。,,新增台湾企业
南港轮胎,2101,轮胎,轮胎制造商。,,新增台湾企业
裕隆汽车,2201,汽车制造,汽车制造与品牌经营企业。,,新增台湾企业
中华汽车,2204,汽车制造,汽车制造、销售与相关服务公司。,,新增台湾企业
和泰兴业,6592,空调/家电代理,空调与家电代理销售及服务公司。,,新增台湾企业
乔山健康科技,1736,健身器材,健身器材与健康科技产品制造商。,,新增台湾企业
巨大机械,9921,自行车,Giant自行车品牌与制造商。,,新增台湾企业
桂盟国际,5306,自行车零组件,自行车链条与传动零组件供应商。,,新增台湾企业
南侨投控,1702,食品/油脂,食品、油脂与餐饮相关事业集团。,,新增台湾企业
味全,1201,食品饮料,食品、乳品与饮料企业。,,新增台湾企业
泰山企业,1218,食品饮料,食用油、饮料与食品制造商。,,新增台湾企业
大成食品,1210,食品/饲料,食品、饲料与畜产相关企业。,,新增台湾企业
卜蜂企业,1215,食品/饲料,饲料、畜产与食品加工企业。,,新增台湾企业
佳格食品,1227,食品饮料,营养食品、饮品与食用油品牌企业。,,新增台湾企业
联华食品,1231,食品,休闲食品与鲜食产品制造商。,,新增台湾企业
黑松,1234,饮料,饮料品牌与制造商。,,新增台湾企业
爱之味,1217,食品饮料,食品罐头、饮料与保健产品制造商。,,新增台湾企业
大统益,1232,油脂,食用油脂与相关产品制造商。,,新增台湾企业
统一超商,2912,零售通路,7-ELEVEN台湾经营者，便利商店与零售服务企业。,,新增台湾企业
全家便利商店,5903,零售通路,FamilyMart台湾经营者，便利商店连锁企业。,,新增台湾企业
宝雅国际,5904,零售通路,生活百货与美妆零售连锁。,,新增台湾企业
远东百货,2903,百货零售,百货商场与零售通路企业。,,新增台湾企业
新光三越,未上市,百货零售,台湾大型百货零售集团。,,新增台湾企业
PChome网路家庭,8044,电商,电商平台与网络服务公司。,,新增台湾企业
诚品生活,2926,文创零售,书店、百货与文创生活通路企业。,,新增台湾企业
台湾金控,未上市,金融控股,台湾金融控股集团，旗下含台湾银行等事业。,,新增台湾企业
京城银行,2809,银行,商业银行，提供个人与企业金融服务。,,新增台湾企业
高雄银行,2836,银行,商业银行，提供存放款与金融服务。,,新增台湾企业
王道银行,2897,银行,商业银行，提供数位金融与企业金融服务。,,新增台湾企业
台中商业银行,2812,银行,台湾商业银行，服务个人与企业客户。,,新增台湾企业
三商寿,2867,保险,人寿保险公司。,,新增台湾企业
台湾人寿,中信金控子公司,保险,人寿保险公司，现属中信金控体系。,,新增台湾企业
立荣航空,长荣航空子公司,航空运输,区域航线航空公司。,,新增台湾企业
华信航空,中华航空子公司,航空运输,区域航空公司，经营国内与区域航线。,,新增台湾企业
台骅投控,2636,物流运输,国际物流、货运承揽与供应链服务公司。,,新增台湾企业
大江生医,8436,生技保健,保健食品、机能性食品与生技产品研发制造公司。,,新增台湾企业
葡萄王,1707,生技保健,保健食品、饮品与生技发酵产品制造商。,,新增台湾企业
中化生,1762,原料药,原料药与医药中间体生产企业。,,新增台湾企业
杏国新药,4192,生技医药,新药研发公司，聚焦肿瘤与特殊疾病治疗领域。,,新增台湾企业
台康生技,6589,生技医药,生物相似药与抗体药物研发制造公司。,,新增台湾企业
顺药,6535,生技医药,新药研发公司，专注中枢神经与急重症治疗领域。,,新增台湾企业
松瑞药,4167,制药,药品研发、制造与销售公司。,,新增台湾企业
