name,code,industry,intro,logo,source,国际知名度评分,国际影响力评分,知名度排名,影响力排名,排名说明
南港轮胎,2101,轮胎,轮胎制造商。,,新增台湾企业,5.8,6.0,60,86,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
南亚科技,2408,DRAM记忆体,台湾DRAM记忆体制造公司。,logo-002.png,图中公司,5.7,6.9,61,43,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
中钢,2002,钢铁,台湾主要一贯作业钢铁厂，供应钢品与相关材料。,logo-001.png,图中公司,5.7,6.4,62,79,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
威强电,3022,工业电脑,工业电脑、嵌入式系统与网络通讯设备供应商。,,新增台湾企业,5.7,6.9,63,47,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
研扬科技,6579,工业电脑,工业电脑与嵌入式平台供应商。,,新增台湾企业,5.7,6.9,64,48,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
友通资讯,2397,工业电脑,嵌入式电脑与工业自动化平台供应商。,,新增台湾企业,5.7,6.9,65,49,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
立端科技,6245,工业电脑,工业电脑与嵌入式系统供应商。,,新增台湾企业,5.7,6.9,66,50,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
硅创电子,8016,IC设计,显示驱动IC与混合信号IC设计公司。,,新增台湾企业,5.7,7.6,67,26,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
敦泰电子,3545,IC设计,触控与显示驱动整合芯片设计公司。,,新增台湾企业,5.7,7.6,68,27,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
宝岛眼镜,未上市,眼镜零售,台湾知名眼镜零售连锁品牌，提供眼镜销售、验光与配镜服务。,logo-102.png,logo墙新增,5.7,4.0,69,208,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
震旦集团,2373,办公设备/服务,台湾办公设备、办公家具与商务服务集团。,logo-103.png,logo墙新增,5.7,4.2,70,174,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
富邦媒,8454,电商/零售,momo电商平台经营者。,logo-059.png,图中公司,5.6,5.0,71,127,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
智冠科技,5478,游戏通路/数位娱乐,游戏通路、点数与数位娱乐服务公司。,logo-074.png,图中公司,5.6,4.9,72,130,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
英业达,2356,电子代工/服务器,笔电、服务器与云端设备制造商。,,新增台湾企业,5.6,7.8,73,17,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
味全,1201,食品饮料,食品、乳品与饮料企业。,,新增台湾企业,5.6,4.8,74,137,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
泰山企业,1218,食品饮料,食用油、饮料与食品制造商。,,新增台湾企业,5.6,4.8,75,138,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
佳格食品,1227,食品饮料,营养食品、饮品与食用油品牌企业。,,新增台湾企业,5.6,4.8,76,139,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
爱之味,1217,食品饮料,食品罐头、饮料与保健产品制造商。,,新增台湾企业,5.6,4.8,77,140,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
群光电子,2385,电脑周边/电源,键盘、摄像头、电源供应器与电子零组件制造商。,logo-066.png,图中公司,5.5,6.1,78,83,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
Gorilla Technology,GRRR,AI/资安/影像分析,AI影像分析、资安与智慧城市技术公司。,logo-092.png,图中公司,5.5,5.1,79,124,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
徐福记,未上市,食品,糖果、糕点与休闲食品品牌。,logo-095.png,图中公司,5.4,4.6,80,151,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
仁宝电脑,2324,电子代工,笔电、智慧装置与电子产品代工制造商。,,新增台湾企业,5.4,7.3,81,33,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
智邦科技,2345,网络通信设备,网络交换器、资料中心与企业网络设备制造商。,logo-094.png,图中公司,5.3,7.3,82,30,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
八方云集,2753,餐饮,连锁餐饮品牌，主营锅贴、水饺等餐饮服务。,logo-083.png,图中公司,5.3,4.3,83,169,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
友嘉国际,未上市,工具机/机械制造,友嘉集团旗下工具机与工业设备相关品牌，业务覆盖机械制造与自动化设备。,logo-100.png,logo墙新增,5.3,5.3,84,107,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台湾高铁,2633,铁路运输,经营台湾高速铁路运输服务。,logo-055.png,图中公司,5.2,5.1,85,123,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
远东新世纪,1402,纺织/化工,聚酯、纺织、化工材料与投资事业集团。,logo-056.png,图中公司,5.2,5.2,86,109,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
南茂科技,8150,半导体封测,记忆体与显示驱动IC封测服务供应商。,logo-062.png,图中公司,5.2,7.9,87,16,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
友劲科技,6142,网络通信,网络通讯设备与电子产品制造公司。,,新增台湾企业,5.2,7.2,88,35,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
南侨投控,1702,食品/油脂,食品、油脂与餐饮相关事业集团。,,新增台湾企业,5.2,4.4,89,160,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
大成食品,1210,食品/饲料,食品、饲料与畜产相关企业。,,新增台湾企业,5.2,4.4,90,161,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
卜蜂企业,1215,食品/饲料,饲料、畜产与食品加工企业。,,新增台湾企业,5.2,4.4,91,162,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
联华食品,1231,食品,休闲食品与鲜食产品制造商。,,新增台湾企业,5.2,4.4,92,163,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
新光三越,未上市,百货零售,台湾大型百货零售集团。,,新增台湾企业,5.2,4.3,93,171,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
PChome网路家庭,8044,电商,电商平台与网络服务公司。,,新增台湾企业,5.2,4.5,94,159,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
妙洁,未上市,家居清洁用品,家居清洁与日用品品牌，产品覆盖厨房、清洁与家庭生活用品。,logo-106.png,logo墙新增,5.2,3.8,95,210,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
欣兴电子,3037,PCB/载板,IC载板与印刷电路板制造商。,logo-087.png,图中公司,5.1,7.1,96,37,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
南亚电路板,8046,PCB/载板,IC载板与印刷电路板制造商。,logo-003.png,图中公司,5.1,7.1,97,38,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
环球晶圆,6488,半导体材料,半导体硅晶圆供应商。,logo-027.png,图中公司,5.1,6.7,98,61,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
力旺电子,3529,半导体IP,嵌入式非挥发性记忆体IP供应商。,logo-040.png,图中公司,5.1,6.7,99,62,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
稳懋半导体,3105,化合物半导体,砷化镓与化合物半导体晶圆代工企业。,logo-041.png,图中公司,5.1,6.7,100,63,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
采钰科技,6789,影像感测/半导体,影像感测晶圆级封装与光学相关技术企业。,logo-052.png,图中公司,5.1,6.7,101,65,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
中美晶,5483,半导体材料/太阳能,硅晶圆与半导体材料相关企业。,logo-060.png,图中公司,5.1,6.7,102,66,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台胜科,3532,半导体材料,硅晶圆材料制造商。,logo-086.png,图中公司,5.1,6.7,103,67,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
永擎电子,7711,服务器/硬体,服务器与云端应用硬体解决方案供应商。,logo-075.png,图中公司,5.1,5.9,104,88,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
力成科技,6239,半导体封测,记忆体与逻辑IC封装测试服务供应商。,,新增台湾企业,5.1,7.8,105,18,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
矽格,6257,半导体封测,IC测试与封装服务公司。,,新增台湾企业,5.1,7.8,106,19,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
颀邦,6147,半导体封测,显示驱动IC封装测试与金凸块服务公司。,,新增台湾企业,5.1,7.8,107,20,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
远传电信,4904,电信服务,行动通信、宽频、企业资通讯与数位服务提供商。,logo-056.png,图中公司,5.0,5.5,108,102,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台湾大哥大,3045,电信服务,行动通信、宽频与数位服务供应商。,logo-023.png,图中公司,5.0,5.5,109,103,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
游戏橘子,6180,游戏营运,线上游戏与数位娱乐服务公司。,logo-072.png,图中公司,5.0,4.6,110,147,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
佳世达,2352,电子/医疗科技,显示器、投影、医疗与智能解决方案企业。,,新增台湾企业,5.0,5.8,111,91,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
蓝天电脑,2362,电脑/通路,电脑产品制造与通路相关企业。,,新增台湾企业,5.0,5.8,112,92,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
神达投资控股,3706,电脑/车用电子,车用电子、工业电脑与投资控股集团。,,新增台湾企业,5.0,5.8,113,93,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
神基控股,3005,强固型电脑,强固型电脑、车用电子与通讯设备制造商。,,新增台湾企业,5.0,5.8,114,94,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
浩鑫,2405,迷你电脑,迷你电脑、主机板与系统产品制造商。,,新增台湾企业,5.0,5.8,115,95,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
建碁,3046,电脑系统,电脑系统、显示与相关电子产品公司。,,新增台湾企业,5.0,5.8,116,96,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
京元电子,2449,半导体测试,IC测试与半导体后段服务企业。,,新增台湾企业,5.0,6.6,117,74,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
欣铨,3264,半导体测试,晶圆测试与IC测试服务公司。,,新增台湾企业,5.0,6.6,118,75,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
精材,3374,晶圆级封装,晶圆级封装与影像感测相关服务公司。,,新增台湾企业,5.0,6.6,119,76,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
广明光电,6188,光储存/电子制造,光电与电子制造相关企业。,,新增台湾企业,5.0,5.8,120,98,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
黑松,1234,饮料,饮料品牌与制造商。,,新增台湾企业,5.0,4.2,121,172,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
诚品生活,2926,文创零售,书店、百货与文创生活通路企业。,,新增台湾企业,5.0,3.8,122,209,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
